open_time,open,high,low,close,volume
1772520660000,1993.2,1994.03,1991.26,1993.44,79.9471
1772520720000,1993.44,1994.22,1992.69,1993.7,26.9671
1772520780000,1993.7,1994.36,1993.24,1993.97,27.9694
1772520840000,1993.8,1994.82,1993.44,1994.82,15.2014
1772520900000,1994.81,1999.83,1994.8,1995.84,87.0166
1772520960000,1995.83,1997.29,1993.47,1996.85,281.1767
1772521020000,1996.81,1998.16,1996.81,1998.16,8.0591
1772521080000,1998,1999.97,1997.92,1999.59,86.3123
1772521140000,1999.57,2001.81,1999.03,1999.04,142.9836
1772521200000,1999.03,1999.03,1997.24,1997.44,29.8253
1772521260000,1997.52,1998.15,1996.76,1997.25,45.3477
1772521320000,1997.23,1997.23,1995.84,1995.84,40.8705
1772521380000,1995.84,1996.03,1994.76,1994.76,60.5052
1772521440000,1994.76,1999.22,1994.75,1999.22,294.9513
1772521500000,1999.23,2000.78,1997.68,1997.8,71.7731
1772521560000,1997.91,1997.91,1995.38,1996.14,106.3051
1772521620000,1996.13,1996.13,1994.26,1995.43,97.9249
1772521680000,1995.29,1995.5,1994.08,1994.24,89.5366
1772521740000,1994.24,1995.8,1994.24,1995.44,60.3181
1772521800000,1995.5,1996.4,1995.24,1995.86,42.5438
1772521860000,1995.85,1995.85,1994.72,1994.96,8.3625
1772521920000,1994.96,1996,1994.68,1996,231.159
1772521980000,1995.91,1997.2,1995.66,1996.32,31.1159
1772522040000,1996.55,2000.23,1996.55,2000.1,96.7247
1772522100000,2000.15,2003.36,2000.15,2002.9,144.7895
1772522160000,2002.9,2003.42,1999.84,2000.22,47.2545
1772522220000,2000.24,2000.93,1997.96,1998,51.7151
1772522280000,1997.99,1998.63,1997.31,1998.63,60.6779
1772522340000,1998.62,2001.44,1998.61,2001.44,229.5652
1772522400000,2001.42,2001.76,1999.64,1999.76,116.3791
1772522460000,1999.76,2000.4,1999.04,2000.33,35.456
1772522520000,2000.43,2001.28,1999.64,2000.64,17.2271
1772522580000,2000.63,2000.86,1998.06,1998.4,47.7549
1772522640000,1998.43,2000.96,1998.43,2000.96,58.2446
1772522700000,2000.95,2000.95,1999.4,2000,45.4951
1772522760000,2000.03,2001.19,1999.59,2000,32.4393
1772522820000,2000.03,2000.6,1998.44,1999.12,90.3565
1772522880000,1999.07,2000.81,1998.73,2000.81,26.2098
1772522940000,2000.84,2001.06,2000.07,2000.41,20.1032
1772523000000,2000.4,2001.27,1999.24,2000.03,61.3809
1772523060000,2000.03,2000.03,1997.91,1998.5,105.1942
1772523120000,1998.43,2000.97,1998.04,1998.89,177.0516
1772523180000,1998.88,1998.88,1997.65,1998.38,180.8035
1772523240000,1998.34,1998.63,1996.9,1997.37,317.0192
1772523300000,1997.36,1997.37,1995.35,1995.36,35.3471
1772523360000,1995.36,1997.03,1995.1,1996.24,144.3128
1772523420000,1996.23,1996.7,1995.92,1996.26,15.2526
1772523480000,1996.38,1997.19,1994.72,1994.73,64.3379
1772523540000,1994.64,1996.59,1994.56,1994.88,63.2984
1772523600000,1994.83,1997.35,1993.18,1995.84,78.0423
1772523660000,1995.83,1996.11,1994.85,1994.85,13.7161
1772523720000,1995,1996.62,1994.24,1996.4,33.4177
1772523780000,1996.35,1998.01,1996.03,1996.88,43.9956
1772523840000,1996.85,1998.02,1996.71,1998.02,76.7142
1772523900000,1998.02,1999.57,1997.92,1998.6,73.4939
1772523960000,1998.57,1998.57,1996.8,1996.8,13.3379
1772524020000,1996.75,1996.91,1995.48,1996.8,142.5241
1772524080000,1996.83,1997.42,1995.91,1996.17,11.1373
1772524140000,1996.18,1996.2,1995.03,1995.23,19.2899
1772524200000,1995.1,1995.1,1993.32,1993.97,151.6904
1772524260000,1993.96,1996.2,1993.75,1994.5,85.1645
1772524320000,1994.6,1996.04,1994.3,1995.5,77.6123
1772524380000,1995.45,1996.56,1995.04,1995.04,14.1744
1772524440000,1995.04,1996.45,1995.04,1995.87,58.1171
1772524500000,1995.86,1996.15,1994.66,1996.14,75.5142
1772524560000,1996.14,1997.48,1994.84,1994.98,67.0982
1772524620000,1994.92,1996.79,1994.25,1996.24,180.285
1772524680000,1996.23,1996.23,1994.84,1995.89,140.6741
1772524740000,1995.89,1996.42,1995.43,1996.19,36.666
1772524800000,1995.9,1996.98,1995.15,1995.9,49.25
1772524860000,1995.83,1996.64,1994.43,1996.64,32.3815
1772524920000,1996.75,1996.81,1994.01,1995.91,92.0392
1772524980000,1995.91,1996.41,1994.24,1995,87.3117
1772525040000,1995.03,1995.12,1992.59,1993.6,36.8992
1772525100000,1993.63,1995.57,1993.63,1994.65,35.3044
1772525160000,1994.68,1994.74,1993.26,1993.75,29.401
1772525220000,1993.8,1994.63,1993.24,1993.92,71.6323
1772525280000,1993.99,1993.99,1992.09,1993.12,32.8595
1772525340000,1993.08,1995.83,1992.96,1995.83,53.7669
